url,title,rent_price,expenses_price,location,icon-stotal,icon-scubierta,icon-ambiente,icon-bano,icon-cochera,icon-dormitorio,icon-antiguedad,icon-orientacion,general_features,icon-toilete,features,icon-luminosidad,icon-disposicion,icon-inmueble
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-ituzaingo-norte-52771727.html,Casa · 174m² · 4 ambientes · 3 cocheras,USD 270.000,No disponible,"Oribe 800, Ituzaingó Norte, Ituzaingó",202 m² tot.,174 m² cub.,4 amb.,3 baños,3 coch.,3 dorm.,12 años,,; ; ; ; ,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-impecable-casa-moderna-al-agua-en-isla-chica-55950193.html,Casa · 403m² · 6 ambientes · 2 cocheras,,Expensas $ 300.000,"Santa Bárbara, Santa Bárbara, Troncos del Talar",1070 m² tot.,403 m² cub.,6 amb.,4 baños,2 coch.,4 dorm.,13 años,SE,; ; ; ; ; ; ; ,1 toilette,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-belgrano-barrancas-55391057.html,Departamento · 52m² · 2 ambientes,USD 234.000,No disponible,"Mendoza al 2000, Belgrano, Capital Federal",61 m² tot.,52 m² cub.,2 amb.,1 baño,,1 dorm.,A estrenar,,; ; ; ; ; ,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-3-ambientes-con-cochera-descubierta-en-54935931.html,Departamento · 47m² · 3 ambientes · 1 cochera,USD 140.000,Expensas $ 140.000,"Armenia al 2100, Palermo Viejo, Palermo",47 m² tot.,47 m² cub.,3 amb.,1 baño,1 coch.,2 dorm.,46 años,SO,; ; ; ,,,Muy luminoso,Lateral,
https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-compass-chauvin-54535037.html,No disponible,No disponible,No disponible,"Santiago del Estero 3147, Chauvín, Mar del Plata",,,,,,,,,,,No disponible,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-chalet-en-venta-en-villa-crespo-capital-federal-56087779.html,Casa · 170m² · 6 ambientes,USD 345.000,No disponible,"Valentin Virasoro 1500, Villa Crespo, Capital Federal",190 m² tot.,170 m² cub.,6 amb.,3 baños,,4 dorm.,70 años,,,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-2-dorm.-2-banos-mar-del-56392304.html,Departamento · 80m² · 3 ambientes · 1 cochera,USD 140.000,Expensas $ 60.000,"Catamarca e/ Falucho y Almirante Brown, Mar del Plata, Buenos Aires Costa Atlántica",90 m² tot.,80 m² cub.,3 amb.,1 baño,1 coch.,2 dorm.,10 años,SE,; ; ; ; ,1 toilette,,,Frente,
https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-casa-ph-en-housing-los-tilos-jardin-claret-3-55363106.html,PH · 167m² · 5 ambientes · 1 cochera,USD 245.000,Expensas $ 303.600,"de los Extremeños al 4900, Córdoba, Córdoba",468 m² tot.,167 m² cub.,5 amb.,2 baños,1 coch.,3 dorm.,16 años,E,; ; ; ; ; ; ,1 toilette,,,Frente,
https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-nomada-palermo-54806666.html,No disponible,No disponible,No disponible,"Av. Santa Fe 4645, CABA, Palermo, Capital Federal",,,,,,,,,,,No disponible,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-aldea-fisherton-rosario-55877218.html,Casa · 127m² · 4 ambientes · 1 cochera,USD 340.000,No disponible,"Aldea Fisherton - Malabia 1200, Fisherton, Rosario",165 m² tot.,127 m² cub.,4 amb.,2 baños,1 coch.,3 dorm.,A estrenar,E,; ; ; ; ; ; ; ; ,1 toilette,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-la-mejor-financiacion-en-pozo-alta-cordoba-deptos-1-53389972.html,Departamento · 42m² · 2 ambientes,USD 58.100,No disponible,"Jerónimo Luis de Cabrera al 931 - 2D, Alta Córdoba, Córdoba",42 m² tot.,42 m² cub.,2 amb.,1 baño,,1 dorm.,A estrenar,NE,; ; ; ,,,Muy luminoso,Interno,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-nueva-cordoba-exclusivo-semipiso-frente-al-parque-55596421.html,Departamento · 219m² · 4 ambientes · 2 cocheras,USD 290.000,No disponible,"Av. Poeta Leopoldo Lugones al 300, Nueva Córdoba, Córdoba",286 m² tot.,219 m² cub.,4 amb.,3 baños,2 coch.,3 dorm.,35 años,SE,; ; ; ,1 toilette,,Muy luminoso,Frente,
https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-boj-belgrano-52237916.html,No disponible,No disponible,No disponible,"Belgrano 645, Morón, GBA Oeste",,,,,,,,,,,No disponible,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-1-amb-div-c-balcon-43-m-sup2--beltran-y-av-53783002.html,Departamento · 35m² · 1 ambiente,USD 78.000,Expensas $ 16.030,"Beltran 35 - Flores, Caballito, Capital Federal",42 m² tot.,35 m² cub.,1 amb.,1 baño,,,A estrenar,E,; ; ; ; ,,,,Contrafrente,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-villa-crespo-caba.-56421820.html,Departamento · 58m² · 3 ambientes · 1 cochera,USD 195.000,No disponible,"Av. Corrientes al 5400, Villa Crespo, Capital Federal",71 m² tot.,58 m² cub.,3 amb.,1 baño,1 coch.,2 dorm.,3 años,,; ; ; ; ; ; ; ; ; ,,,Muy luminoso,Frente,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-monoambiente-en-venta-1-bano-80-56391681.html,Departamento · 40m² · 1 ambiente,USD 149.000,Expensas $ 112.000,"Monroe e/ Avenida Álvarez Thomas y Pacheco, Villa Urquiza, Capital Federal",40 m² tot.,40 m² cub.,1 amb.,1 baño,,,A estrenar,SE,; ; ; ,,,Muy luminoso,Contrafrente,
https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-nicaragua-4356-56353675.html,No disponible,No disponible,No disponible,"Nicaragua 4356, Palermo, Capital Federal",,,,,,,,,,,No disponible,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-1-dormitorio-1-bano-50-56391150.html,Departamento · 46m² · 2 ambientes,USD 59.000,Expensas $ 90.000,"Alsina y Falucho, Mar del Plata, Buenos Aires Costa Atlántica",50 m² tot.,46 m² cub.,2 amb.,1 baño,,1 dorm.,60 años,SE,; ; ; ,,,Muy luminoso,Frente,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta.-3-dorm.-en-una-planta.-jardin.-apto-56166518.html,Casa · 150m² · 6 ambientes · 1 cochera,USD 147.000,No disponible,"Cacheuta , Residencial Vélez Sársfield, Córdoba",200 m² tot.,150 m² cub.,6 amb.,2 baños,1 coch.,3 dorm.,44 años,E,; ; ,,,Muy luminoso,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-ambientes-con-patio-remodelado-a-nuevo!-3-de-55997034.html,Departamento · 43m² · 2 ambientes,USD 110.000,Expensas $ 120.000,"3 de Febrero 700, Belgrano, Capital Federal",55 m² tot.,43 m² cub.,2 amb.,1 baño,,1 dorm.,50 años,E,; ; ,,,Muy luminoso,,
https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-casas-urbanas-zapiola-3151-54834181.html,No disponible,No disponible,No disponible,"Zapiola 3151, Coghlan, Capital Federal",,,,,,,,,,,No disponible,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-la-oportunidad-unica!-venta-casa-costa-esmeralda-55662936.html,Casa · 250m² · 6 ambientes · 1 cochera,USD 360.000,No disponible,"costa esmeralda, Marítimo I, Costa Esmeralda",250 m² tot.,250 m² cub.,6 amb.,3 baños,1 coch.,5 dorm.,13 años,,; ; ; ; ; ,1 toilette,,Muy luminoso,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-villa-devoto-56421260.html,Departamento · 130m² · 4 ambientes,USD 585.000,No disponible,"Navarro al 3700, Villa Devoto, Capital Federal",250 m² tot.,130 m² cub.,4 amb.,3 baños,,3 dorm.,A estrenar,,; ,1 toilette,,Muy luminoso,Frente,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-a-estrenar-en-venta-en-puertos-escobar-barrio-54098416.html,Casa · 180m² · 6 ambientes · 4 cocheras,USD 265.000,No disponible,"Barrio Cerrado Los Ceibos , Puertos,, Escobar Lote Nro. 72, Puertos, El Cazador",590 m² tot.,180 m² cub.,6 amb.,3 baños,4 coch.,4 dorm.,A estrenar,O,; ; ; ; ; ; ,1 toilette,,Muy luminoso,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-proyecto-casa-a-construir-en-san-ramiro-pilar-52627515.html,Casa · 118m² · 4 ambientes · 2 cocheras,USD 175.000,Expensas $ 250.000,"San Ramiro, San Ramiro, Zelaya",553 m² tot.,118 m² cub.,4 amb.,2 baños,2 coch.,3 dorm.,En construcción,,; ; ; ; ,1 toilette,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-5-ambientes-con-parque-y-piscina-en-moron-54860192.html,Casa · 240m² · 5 ambientes · 2 cocheras,USD 285.000,No disponible,"Ozanam al 900 Morón, Morón, Morón",315 m² tot.,240 m² cub.,5 amb.,3 baños,2 coch.,4 dorm.,10 años,,; ; ; ; ; ; ; ,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-monoambiente-a-estrenar-balcon-frente-financiacion-55918229.html,Departamento · 33m² · 1 ambiente,USD 65.000,No disponible,"Mitre al 500, Distrito Centro, Rosario",33 m² tot.,33 m² cub.,1 amb.,1 baño,,,A estrenar,O,; ; ; ,,,,Frente,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-don-mateo.-etapa-1.-funes-55802731.html,Casa · 134m² · 3 ambientes · 2 cocheras,USD 265.000,No disponible,"Los Tizones al 3000 Don Mateo Etapa 1, Don Mateo , Zona 9",410 m² tot.,134 m² cub.,3 amb.,2 baños,2 coch.,3 dorm.,A estrenar,,; ; ; ; ; ,1 toilette,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-5-amb-con-jardin-quincho-y-pileta-en-55538411.html,Casa · 200m² · 5 ambientes · 1 cochera,USD 280.000,No disponible,"Reynoso al 2400, Don Torcuato, Tigre",460 m² tot.,200 m² cub.,5 amb.,2 baños,1 coch.,4 dorm.,12 años,,; ; ; ; ; ; ,1 toilette,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-martin-rosario-3-dorm.-56244400.html,Departamento · 73m² · 5 ambientes · 1 cochera,USD 129.000,No disponible,"Laprida al 1100 - Dpto 3 Dormitorios C/cochera - Alquilado, Martín, Distrito Centro",84 m² tot.,73 m² cub.,5 amb.,1 baño,1 coch.,3 dorm.,40 años,O,; ; ; ; ; ; ,1 toilette,,Muy luminoso,Contrafrente,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-planta-baja-con-gran-patio-privado-55840031.html,Departamento · 88m² · 3 ambientes,USD 360.000,Expensas $ 304.000,"Pacheco de Melo 2000, Recoleta, Capital Federal",149 m² tot.,88 m² cub.,3 amb.,2 baños,,2 dorm.,6 años,,,1 toilette,,,,
"https://www.zonaprop.com.ar/propiedades/clasificado/veclcana-casa-5-ambientes.-armada-argentina-650-56412320.html?labs=0,AnnoyAPI_itemitem_RC=_UC=,20250607094613,b18ae7bd-2623-4763-86a6-481736c82e80&userid=0&itemid=52771727&labs_source=RECOMENDADOS_LISTADO_PROPIEDAD_PERSONALIZED_DESKTOP&labs_version=2",Casa · 190m² · 5 ambientes · 2 cocheras,USD 280.000,No disponible,"Armada Argentina 650. Entre Oyuela y Ruben dario, Parque Leloir, Ituzaingó",190 m² tot.,190 m² cub.,5 amb.,2 baños,2 coch.,4 dorm.,20 años,,,,,,,
"https://www.zonaprop.com.ar/propiedades/clasificado/veclcana-casa-en-venta-barrio-de-ambito-cerrado-parque-54386898.html?labs=1,AnnoyAPI_itemitem_RC=_UC=,20250607094613,b18ae7bd-2623-4763-86a6-481736c82e80&userid=0&itemid=52771727&labs_source=RECOMENDADOS_LISTADO_PROPIEDAD_PERSONALIZED_DESKTOP&labs_version=2",Casa · 123m² · 3 ambientes · 2 cocheras,USD 294.300,No disponible,"Payadores1830, Ituzaingó Norte, Ituzaingó",158 m² tot.,123 m² cub.,3 amb.,2 baños,2 coch.,3 dorm.,A estrenar,N,; ; ; ,1 toilette,,Muy luminoso,,
"https://www.zonaprop.com.ar/propiedades/clasificado/veclcana-venta-de-casa-4-ambientes-ituzaingo-con-pileta-55433533.html?labs=2,AnnoyAPI_itemitem_RC=_UC=,20250607094613,b18ae7bd-2623-4763-86a6-481736c82e80&userid=0&itemid=52771727&labs_source=RECOMENDADOS_LISTADO_PROPIEDAD_PERSONALIZED_DESKTOP&labs_version=2",Casa · 157m² · 4 ambientes · 2 cocheras,USD 250.000,No disponible,"PAYSANDU 1848, Ituzaingó Norte, Ituzaingó",281 m² tot.,157 m² cub.,4 amb.,2 baños,2 coch.,3 dorm.,A estrenar,,; ; ; ; ; ,1 toilette,,,,
"https://www.zonaprop.com.ar/propiedades/clasificado/veclcana-casa-4-ambientes-a-estrenar-en-venta-en-ituzaingo-56058022.html?labs=3,AnnoyAPI_itemitem_RC=_UC=,20250607094613,b18ae7bd-2623-4763-86a6-481736c82e80&userid=0&itemid=52771727&labs_source=RECOMENDADOS_LISTADO_PROPIEDAD_PERSONALIZED_DESKTOP&labs_version=2",Casa · 180m² · 4 ambientes · 1 cochera,USD 270.000,No disponible,"Laprida al 300, Ituzaingó Norte, Ituzaingó",250 m² tot.,180 m² cub.,4 amb.,1 baño,1 coch.,3 dorm.,A estrenar,,; ; ; ; ; ; ,1 toilette,,Muy luminoso,,
"https://www.zonaprop.com.ar/propiedades/clasificado/veclcana-casas-en-ph-en-venta-en-ituzaingo-norte-56083877.html?labs=4,AnnoyAPI_itemitem_RC=_UC=,20250607094613,b18ae7bd-2623-4763-86a6-481736c82e80&userid=0&itemid=52771727&labs_source=RECOMENDADOS_LISTADO_PROPIEDAD_PERSONALIZED_DESKTOP&labs_version=2",Casa · 150m² · 4 ambientes · 2 cocheras,USD 270.000,No disponible,"Laprida al 300, Ituzaingó Norte, Ituzaingó",250 m² tot.,150 m² cub.,4 amb.,2 baños,2 coch.,3 dorm.,A estrenar,N,; ; ; ; ; ; ,1 toilette,,Muy luminoso,,
"https://www.zonaprop.com.ar/propiedades/clasificado/veclcana-venta-chalet-ituzaingo-norte-50800757.html?labs=5,AnnoyAPI_itemitem_RC=_UC=,20250607094613,b18ae7bd-2623-4763-86a6-481736c82e80&userid=0&itemid=52771727&labs_source=RECOMENDADOS_LISTADO_PROPIEDAD_PERSONALIZED_DESKTOP&labs_version=2",Casa · 200m² · 4 ambientes · 3 cocheras,USD 239.000,No disponible,"Martiniano Chilavert 100, Villa Ariza, Ituzaingó",260 m² tot.,200 m² cub.,4 amb.,3 baños,3 coch.,3 dorm.,25 años,S,; ; ; ; ; ; ,,,,,
"https://www.zonaprop.com.ar/propiedades/clasificado/veclcana-casa-4-ambientes-en-ituzaingo-53906373.html?labs=6,AnnoyAPI_itemitem_RC=_UC=,20250607094613,b18ae7bd-2623-4763-86a6-481736c82e80&userid=0&itemid=52771727&labs_source=RECOMENDADOS_LISTADO_PROPIEDAD_PERSONALIZED_DESKTOP&labs_version=2",Casa · 160m² · 4 ambientes,USD 250.000,No disponible,"Paysandu 1800, Ituzaingó Norte, Ituzaingó",160 m² tot.,160 m² cub.,4 amb.,3 baños,,3 dorm.,20 años,,; ; ,,,,,
"https://www.zonaprop.com.ar/propiedades/clasificado/veclcana-hermosa-propiedad-de-categoria-4-amb-con-piscina-t-54819889.html?labs=7,AnnoyAPI_itemitem_RC=_UC=,20250607094613,b18ae7bd-2623-4763-86a6-481736c82e80&userid=0&itemid=52771727&labs_source=RECOMENDADOS_LISTADO_PROPIEDAD_PERSONALIZED_DESKTOP&labs_version=2",Casa · 180m² · 4 ambientes · 2 cocheras,USD 249.900,No disponible,"Paysandu 1100. Entre Gral josé artigas y Gral. venancio flores, Ituzaingó, GBA Oeste",220 m² tot.,180 m² cub.,4 amb.,4 baños,2 coch.,3 dorm.,20 años,N,; ; ; ; ; ; ,1 toilette,,,,
