Cantidad_plantas,Pileta,Apto_credito,antiguedad,dormitorios,cocheras,baños,ambientes,m2_totales,m2_cubiertos,expenses,price,vivienda,latitud,longitud,precio_m2_cercano
1,no,no,0.0,3.0,2.0,3.0,4.0,180.0,180.0,,270000.0,PH,-27.6007447,-56.6942009,440.0
1,no,no,10.0,3.0,,2.0,4.0,250.0,150.0,500000.0,270000.0,Casa,-34.0,-64.0,1138.1162201689413
1,no,no,35.0,4.0,,3.0,5.0,201.0,151.0,,290000.0,Casa,-34.6203437,-58.6772161,1034.728924657435
1,no,no,2.0,3.0,1.0,3.0,4.0,156.0,134.0,60000.0,259000.0,Casa,-34.6151483,-58.6955896,1195.4258540176206
1,no,no,18.0,3.0,,3.0,4.0,200.0,200.0,,295000.0,Casa,-34.6276756,-58.6737682,1103.652654737709
1,no,no,,4.0,1.0,3.0,5.0,210.0,210.0,,285000.0,Casa,-34.6545658,-58.6731083,750.8364028110564
1,no,no,24.0,4.0,1.0,2.0,6.0,203.0,200.0,,290000.0,Casa,-34.6056927,-58.6869968,790.4182593463364
1,no,no,,3.0,,3.0,4.0,220.0,220.0,,280000.0,Casa,-34.6201872,-58.7039955,959.3046863882753
1,no,no,4.0,3.0,2.0,3.0,4.0,180.0,176.0,,250000.0,Casa,-34.6425133,-58.7027977,409.8360655737705
1,no,no,0.0,3.0,1.0,3.0,4.0,260.0,155.0,,270000.0,Casa,,,
1,no,no,0.0,3.0,4.0,3.0,4.0,250.0,150.0,,270000.0,Casa,-34.6518152,-58.6610657,1296.9881751645623
1,no,no,40.0,4.0,,2.0,5.0,226.0,90.0,,106000.0,PH,-34.67907,-58.47263,
1,no,no,0.0,5.0,2.0,4.0,6.0,890.0,270.0,,397000.0,Casa,,,
1,no,no,0.0,,,1.0,1.0,35.0,31.0,,55000.0,Departamento,-34.7278678,-58.39603,
1,no,no,40.0,1.0,,1.0,2.0,30.0,30.0,100000.0,59900.0,Departamento,-34.6,-58.4151,2321.4482052220146
